 Location:  2S 125W   5 Nov 1991 to 23 May 2012 ( 7506 times,  6 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200  5 Nov 1991 to 1200 26 Aug 1996 (index     1 to  1757, 1757 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19921115 1200  -7.0  -0.9   7.0 262.2 12 55
 19921116 1200  -5.0   1.5   5.2 286.4 12 55
 19921117 1200  -5.7   2.3   6.1 291.7 12 55
 19921118 1200  -7.3   0.9   7.3 277.0 12 55
 19921119 1200  -7.6   0.0   7.6 270.0 12 55
 19921120 1200  -7.1  -0.2   7.1 268.4 12 55
 19921121 1200  -5.9  -0.7   6.0 263.7 12 55
 19921122 1200  -5.9   1.9   6.2 288.0 12 55
 19921123 1200  -5.7   1.7   5.9 286.5 12 55
 19921124 1200  -6.2  -1.2   6.3 258.9 12 55
 19921125 1200  -6.5   0.1   6.5 271.1 12 55
 19921126 1200  -6.5   2.8   7.1 293.5 12 55
 19921127 1200  -6.0  -0.4   6.0 266.4 12 55
 19921128 1200  -4.2  -1.0   4.3 255.9 12 55
 19921129 1200  -4.4   2.3   5.0 297.5 12 55
 19921130 1200  -6.0   2.1   6.4 289.1 12 55
 19921201 1200  -7.0   1.5   7.2 282.3 12 55
 19921202 1200  -7.6  -0.4   7.6 266.8 12 55
 19921203 1200  -7.4  -0.6   7.4 265.1 12 55
 19921204 1200  -6.6  -1.1   6.7 260.7 12 55
 19921205 1200  -6.2  -0.3   6.2 267.3 12 55
 19921206 1200  -4.2   0.0   4.2 269.7 12 55
 19921207 1200  -5.4   1.8   5.7 288.6 12 55
 19921208 1200  -6.5   1.8   6.8 285.5 12 55
 19921209 1200  -6.7   0.8   6.7 276.6 12 55
 19921210 1200  -6.8   0.1   6.8 270.4 12 55
 19921211 1200  -7.3  -0.1   7.3 269.4 12 55
 19921212 1200  -7.1  -1.1   7.2 260.9 12 55
 19921213 1200  -6.0   0.6   6.0 275.8 12 55
 19921214 1200  -4.9   1.3   5.1 285.3 12 55
 19921215 1200  -4.5   1.1   4.7 283.7 12 55
 19921216 1200  -6.2  -0.9   6.2 261.9 12 55
 19921217 1200  -7.6  -0.6   7.6 265.2 12 55
 19921218 1200  -7.4  -0.3   7.4 267.4 12 55
 19921219 1200  -6.2  -1.1   6.3 260.1 12 55
 19921220 1200  -6.7  -1.8   6.9 255.2 12 55
 19921221 1200  -6.7  -0.9   6.7 261.9 12 55
 19921222 1200  -6.1  -2.2   6.5 249.9 12 55
 19921223 1200  -6.2   2.3   6.6 290.4 12 55
 19921224 1200  -5.4   1.7   5.7 287.4 12 55
 19921225 1200  -6.6   1.7   6.8 284.5 12 55
 19921226 1200  -7.3  -0.1   7.3 269.2 12 55
 19921227 1200  -8.0  -0.2   8.0 268.2 12 55
 19921228 1200  -8.2  -1.6   8.4 259.3 12 55
 19921229 1200  -6.0  -1.2   6.2 258.8 12 55
 19921230 1200  -6.5   1.8   6.8 285.5 12 55
 19921231 1200  -7.5   1.3   7.6 279.7 12 55
 19930101 1200  -5.7   1.7   6.0 286.6 12 55
